pgn,name
d4 Nf6 c4 e6 Nf3 d5 Nc3 Be7 Bg5 O-O e3 Nbd7 Rc1 a6,"Queen's Gambit Declined, Orthodox Defense, Henneberger Variation"
d4 Nf6 c4 e6 Nf3 d5 Nc3 Be7 Bg5 O-O e3 Nbd7 Rc1 a6 c5,"Queen's Gambit Declined, Orthodox Defense, Henneberger Variation"
d4 Nf6 c4 e6 Nf3 d5 Nc3 Be7 Bg5 O-O e3 Nbd7 Rc1 a6 c5 c6,"Queen's Gambit Declined, Orthodox Defense, Henneberger Variation"
d4 Nf6 c4 e6 Nf3 d5 Nc3 Be7 Bg5 O-O e3 Nbd7 Rc1 a6 c5 c6 Bd3,"Queen's Gambit Declined, Orthodox Defense, Henneberger Variation"
d4 Nf6 c4 e6 Nf3 d5 Nc3 Be7 Bg5 O-O e3 Nbd7 Rc1,"Queen's Gambit Declined, Orthodox Defense, Main Line"
d4 Nf6 c4 e6 Nf3 d5 Nc3 Be7 Bg5 O-O e3 Nbd7 Rc1 c6,"Queen's Gambit Declined, Orthodox Defense, Main Line"
d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 Nbd7 Nf3 O-O Rc1 h6 Bh4 c5,"Queen's Gambit Declined, Orthodox Defense, Main Line"
d4 Nf6 c4 e6 Nc3 d5 Bg5 Be7 e3 O-O Nf3 Nbd7 Rc1 b6 cxd5 exd5 Bd3,"Queen's Gambit Declined, Orthodox Defense, Pillsbury Variation"
d4 Nf6 c4 e6 Nf3 d5 Nc3 Be7 Bg5 O-O e3 Nbd7 Rc1 a6 cxd5,"Queen's Gambit Declined, Orthodox Defense, Swiss, Carlsbad Variation"
d4 Nf6 c4 e6 Nc3 d5 Nf3 Be7 Bg5 O-O e3 Nbd7 Rc1 c6 a3 a6 Qc2,"Queen's Gambit Declined, Orthodox Defense, Rubinstein Attack"
d4 Nf6 c4 e6 Nf3 d5 Nc3 Be7 Bg5 O-O e3 Nbd7 Rc1 c6 Qc2,"Queen's Gambit Declined, Orthodox Defense, Rubinstein Attack"
d4 Nf6 c4 e6 Nf3 d5 Nc3 Be7 Bg5 O-O e3 Nbd7 Rc1 c6 Qc2 a6,"Queen's Gambit Declined, Orthodox Defense, Rubinstein Attack"
Nf3 d5 d4 Nf6 c4 e6 Nc3 Be7 Bg5 O-O e3 Nbd7 Rc1 c6 Qc2 Ne4,"Queen's Gambit Declined, Orthodox Defense, Rubinstein Attack"
d4 d5 Nf3 Nf6 c4 e6 Nc3 Be7 Bg5 O-O e3 Nbd7 Rc1 c6 Qc2 a6 cxd5,"Queen's Gambit Declined, Orthodox Defense, Rubinstein Attack"
d4 d5 Nf3 Nf6 c4 e6 Nc3 Be7 Bg5 O-O e3 Nbd7 Rc1 c6 Qc2 a6 cxd5 exd5 Bd3,"Queen's Gambit Declined, Orthodox Defense, Rubinstein Attack"
d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 Nbd7 Rc1 c6 Bd3,"Queen's Gambit Declined, Orthodox Defense, Bd3 Line"
d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 Nbd7 Rc1 c6 Bd3 h6 Bh4,"Queen's Gambit Declined, Orthodox Defense, Bd3 Line"
d4 d5 c4 e6 Nc3 Nf6 Bg5 c6 Nf3 Be7 e3 Nbd7 Rc1 O-O Bd3 dxc4 Bxc4 b5,"Queen's Gambit Declined, Orthodox Defense, Fianchetto Variation"
d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 Nbd7 Rc1 c6 Bd3 dxc4 Bxc4 Nd5 Bxe7 Qxe7 Ne4,"Queen's Gambit Declined, Orthodox Defense, Alekhine Variation"
d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 Nbd7 Rc1 c6 Bd3 dxc4 Bxc4 Nd5 Bxe7 Qxe7,"Queen's Gambit Declined, Orthodox Defense, Bd3 Line"
d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 Nbd7 Rc1 c6 Bd3 dxc4 Bxc4 Nd5,"Queen's Gambit Declined, Orthodox Defense, Capablanca System"
d4 d5 Nf3 Nf6 c4 e6 Nc3 Be7 Bg5 O-O e3 Nbd7 Rc1 c6 Bd3 dxc4 Bxc4 Nd5 h4,"Queen's Gambit Declined, Orthodox Defense, Janowski Variation"
d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 Nbd7 Rc1 c6 Bd3 dxc4 Bxc4 Nd5 Bxe7 Qxe7 O-O,"Queen's Gambit Declined, Orthodox Defense, Main Line"
d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 Nbd7 Rc1 c6 Bd3 dxc4 Bxc4 Nd5 Bxe7 Qxe7 O-O Nxc3 Rxc3 e5,"Queen's Gambit Declined, Orthodox Defense, Classical Variation"
d4 d5 c4 e6 Nf3 Nf6 Nc3 Be7 Bg5 O-O e3 Nbd7 Rc1 c6 Bd3 dxc4 Bxc4 Nd5 Bxe7 Qxe7 O-O Nxc3 Rxc3 e5 Qb1,"Queen's Gambit Declined, Orthodox Defense, Classical Variation"
d4 Nf6 c4 e6 Nf3 d5 Nc3 Be7 Bg5 O-O e3 Nbd7 Rc1 c6 Bd3 dxc4 Bxc4 Nd5 Bxe7 Qxe7 O-O Nxc3 Rxc3 e5 Qc2,"Queen's Gambit Declined, Orthodox Defense, Classical Variation"
d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 Nbd7 Rc1 c6 Bd3 dxc4 Bxc4 Nd5 Bxe7 Qxe7 O-O Nxc3 Rxc3 e5 dxe5 Nxe5 Nxe5 Qxe5,"Queen's Gambit Declined, Orthodox Defense, Classical Variation"
d4 Nf6 c4 g6 f3 d5,"Neo-Grünfeld Defense, Goglidze Attack"
d4 Nf6 c4 g6 Nf3 d5,"Neo-Grünfeld Defense, with Nf3"
d4 Nf6 c4 g6 g3 d5,"Neo-Grünfeld Defense, with g3"
d4 Nf6 c4 g6 g3 Bg7 Bg2 d5 cxd5 Nxd5,"Neo-Grünfeld Defense, Exchange Variation"
c4 Nf6 g3 g6 Bg2 Bg7 d4 d5 cxd5 Nxd5 Nf3,"Neo-Grünfeld Defense, Exchange Variation"
d4 Nf6 c4 g6 g3 d5 Bg2 Bg7 cxd5 Nxd5 e4 Nb6 Ne2,"Neo-Grünfeld Defense, with g3"
d4 Nf6 c4 g6 g3 d5 Bg2 Bg7 Nf3,"Neo-Grünfeld Defense, with g3"
d4 Nf6 c4 g6 Nf3 Bg7 g3 O-O Bg2 d5 cxd5 Nxd5 O-O,"Neo-Grünfeld Defense, Delayed Exchange Variation"
d4 Nf6 c4 g6 Nc3 Bg7 Nf3 O-O g3 d5 cxd5 Nxd5 Bg2 c5 O-O,"Neo-Grünfeld Defense, Delayed Exchange Variation"
d4 Nf6 Nf3 g6 c4 Bg7 g3 O-O Bg2 d5 cxd5 Nxd5 O-O c5 dxc5,"Neo-Grünfeld Defense, Delayed Exchange Variation"
d4 Nf6 c4 g6 Nf3 Bg7 g3 O-O Bg2 d5 cxd5 Nxd5 O-O Nb6,"Neo-Grünfeld Defense, Delayed Exchange Variation"
d4 Nf6 Nf3 g6 g3 Bg7 Bg2 O-O O-O d5 c4,"Neo-Grünfeld Defense, Classical Variation"
d4 Nf6 Nf3 g6 g3 Bg7 Bg2 O-O O-O d5 c4 dxc4,"Neo-Grünfeld Defense, Classical Variation, Modern Defense"
d4 Nf6 Nf3 g6 g3 Bg7 Bg2 O-O O-O d5 c4 Nc6,"Neo-Grünfeld Defense, Classical Variation, Polgar Variation"
d4 Nf6 c4 g6 Nf3 Bg7 g3 O-O Bg2 c6 O-O d5,"Neo-Grünfeld Defense, Classical Variation, Original Defense"
d4 Nf6 c4 g6 Nf3 Bg7 g3 O-O Bg2 c6 O-O d5 cxd5 cxd5,"Neo-Grünfeld Defense, Ultra-Delayed Exchange Variation"
d4 Nf6 c4 g6 Nc3 d5,Grünfeld Defense
d4 Nf6 c4 g6 Nc3 d5 g4,"Grünfeld Defense, Gibbon Gambit"
d4 Nf6 c4 g6 Nc3 d5 Bg5 Ne4 Nxe4 dxe4 Qd2 c5,"Grünfeld Defense, Lundin Variation"
d4 Nf6 c4 g6 Nc3 d5 f3,"Grünfeld Defense, Lutikov Variation"
d4 Nf6 c4 g6 Nc3 d5 f3 c5 cxd5 Nxd5 Na4,"Grünfeld Defense, Lutikov Variation, Murrey Attack"
d4 Nf6 c4 g6 Nc3 d5 Bg5,"Grünfeld Defense, Stockholm Variation"
d4 Nf6 c4 g6 Nc3 d5 h4,"Grünfeld Defense, Zaitsev Gambit"
d4 Nf6 c4 g6 Nc3 d5 Qb3,"Grünfeld Defense, Russian Variation, Accelerated Variation"
d4 Nf6 c4 g6 Nc3 d5 Bf4,"Grünfeld Defense, Brinckmann Attack"
d4 Nf6 c4 g6 Nc3 d5 Bf4 Bg7 e3 O-O,"Grünfeld Defense, Brinckmann Attack, Grünfeld Gambit"
d4 Nf6 c4 g6 Nc3 d5 Bf4 Bg7 e3 O-O Rc1 c5 dxc5 Be6,"Grünfeld Defense, Brinckmann Attack, Grünfeld Gambit, Botvinnik Variation"
d4 Nf6 c4 g6 Nc3 d5 Bf4 Bg7 e3 O-O Rc1,"Grünfeld Defense, Brinckmann Attack, Grünfeld Gambit, Capablanca Variation"
d4 Nf6 c4 g6 Nc3 d5 Bf4 Bg7 Rc1 O-O e3 c5 dxc5 Qa5,"Grünfeld Defense, Brinckmann Attack, Reshevsky Gambit"
d4 Nf6 c4 g6 Nc3 d5 Bf4 Bg7 e3 O-O cxd5 Nxd5 Nxd5 Qxd5 Bxc7,"Grünfeld Defense, Brinckmann Attack, Grünfeld Gambit Accepted"
d4 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5,"Grünfeld Defense, Exchange Variation"
d4 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 e4 Nxc3 bxc3 Bg7 Nf3,"Grünfeld Defense, Exchange Variation, Modern Exchange Variation"
d4 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 e4 Nxc3 bxc3 Bg7 Nf3 c5,"Grünfeld Defense, Exchange Variation, Modern Exchange Variation"
d4 Nf6 Nf3 g6 c4 Bg7 Nc3 d5 cxd5 Nxd5 e4 Nxc3 bxc3 c5 Rb1,"Grünfeld Defense, Exchange Variation, Modern Exchange Variation"
d4 Nf6 Nf3 g6 c4 Bg7 Nc3 d5 cxd5 Nxd5 e4 Nxc3 bxc3 c5 h3,"Grünfeld Defense, Exchange Variation, Modern Exchange Variation, Kramnik's Line"
d4 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 e4 Nxc3 bxc3 Bg7 Nf3 c5 Rb1 O-O Be2 Nc6 d5 Bxc3+,"Grünfeld Defense, Exchange Variation, Modern Exchange Variation, Pawn Grab Line"
d4 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 Na4,"Grünfeld Defense, Exchange Variation, Nadanian Attack"
d4 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 e4 Nxc3 bxc3 Bg7 Bc4,"Grünfeld Defense, Exchange Variation, Classical Variation"
d4 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 e4 Nxc3 bxc3 Bg7 Bc4 O-O Ne2 Qd7,"Grünfeld Defense, Exchange Variation, Larsen Variation"
d4 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 e4 Nxc3 bxc3 Bg7 Bc4 O-O Ne2 Qd7 O-O b6,"Grünfeld Defense, Exchange Variation, Larsen Variation"
d4 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 e4 Nxc3 bxc3 Bg7 Bc4 O-O Ne2 Nc6,"Grünfeld Defense, Exchange Variation, Simagin's Improved Variation"
d4 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 e4 Nxc3 bxc3 Bg7 Bc4 O-O Ne2 b6,"Grünfeld Defense, Exchange Variation, Simagin's Lesser Variation"
d4 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 e4 Nxc3 bxc3 Bg7 Bc4 c5 Ne2 Nc6 Be3 O-O O-O Bg4 f3 Na5 Bxf7+,"Grünfeld Defense, Exchange Variation, Seville Variation"
d4 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 e4 Nxc3 bxc3 Bg7 Bc4 c5 Ne2 O-O,"Grünfeld Defense, Exchange Variation, Spassky Variation"
d4 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 e4 Nxc3 bxc3 Bg7 Bc4 c5 Ne2 Nc6 Be3 O-O O-O cxd4 cxd4,"Grünfeld Defense, Exchange Variation, Spassky Variation"
d4 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 e4 Nxc3 bxc3 Bg7 Bc4 c5 Ne2 O-O O-O Nc6 Be3 Bg4 f3 Na5 Bd3 cxd4 cxd4 Be6 d5,"Grünfeld Defense, Exchange Variation, Sokolsky Variation"
d4 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 e4 Nxc3 bxc3 Bg7 Bc4 c5 Ne2 Nc6 Be3 O-O O-O Bg4 f3 Na5 Bd3 cxd4 cxd4 Be6,"Grünfeld Defense, Exchange Variation, Spassky Variation"
d4 Nf6 c4 g6 Nc3 d5 Nf3 Bg7 Qa4+,"Grünfeld Defense, Flohr Variation"
d4 Nf6 c4 g6 Nc3 d5 Nf3,"Grünfeld Defense, Three Knights Variation"
d4 Nf6 c4 g6 Nc3 d5 Nf3 Bg7,"Grünfeld Defense, Three Knights Variation"
d4 Nf6 c4 g6 Nc3 d5 Nf3 Bg7 Bg5,"Grünfeld Defense, Three Knights Variation, Petrosian System"
d4 Nf6 c4 g6 Nc3 d5 Nf3 Bg7 Bf4,"Grünfeld Defense, Three Knights Variation, Hungarian Attack"
d4 Nf6 c4 g6 Nc3 d5 Nf3 Bg7 Bf4 O-O e3,"Grünfeld Defense, Three Knights Variation, Hungarian Variation"
d4 d5 c4 c6 Nc3 Nf6 e3 g6 Nf3 Bg7 Bd3 O-O O-O Bf5,"Grünfeld Defense, Flohr Defense"
d4 Nf6 c4 g6 Nc3 d5 Nf3 Bg7 e3 O-O b4,"Grünfeld Defense, Makogonov Variation"
d4 Nf6 c4 g6 Nc3 d5 Nf3 Bg7 e3 O-O Bd2,"Grünfeld Defense, Opocensky Variation"
d4 d5 c4 c6 Nc3 Nf6 e3 g6 Nf3 Bg7 Bd3 O-O O-O Bg4,"Grünfeld Defense, Smyslov Defense"
d4 Nf6 c4 g6 Nc3 d5 Nf3 Bg7 e3,"Grünfeld Defense, Three Knights Variation, Burille Variation"
d4 Nf6 c4 g6 Nc3 d5 Nf3 Bg7 e3 O-O Bd3,"Grünfeld Defense, Three Knights Variation, Paris Variation"
d4 Nf6 c4 g6 Nc3 d5 Nf3 Bg7 e3 O-O Qb3 e6,"Grünfeld Defense, Botvinnik Variation"
d4 Nf6 c4 g6 Nc3 d5 e3 Bg7 Qb3 dxc4 Bxc4 O-O Nf3 Nbd7 Ng5,"Grünfeld Defense, Pachman Variation"
d4 Nf6 c4 g6 Nc3 d5 Nf3 Bg7 e3 O-O Qb3,"Grünfeld Defense, Three Knights Variation, Vienna Variation"
d4 Nf6 c4 g6 Nc3 d5 Nf3 Bg7 Qb3,"Grünfeld Defense, Russian Variation"
d4 Nf6 c4 g6 Nc3 d5 Nf3 Bg7 Qb3 dxc4 Qxc4 O-O e4,"Grünfeld Defense, Russian Variation"
d4 Nf6 c4 g6 Nc3 d5 Nf3 Bg7 Qb3 dxc4 Qxc4 O-O e4 Nc6,"Grünfeld Defense, Russian Variation, Byrne Variation"
d4 Nf6 c4 g6 Nc3 d5 Nf3 Bg7 Qb3 dxc4 Qxc4 O-O e4 a6,"Grünfeld Defense, Russian Variation, Hungarian Variation"
d4 Nf6 c4 g6 Nc3 d5 Nf3 Bg7 Qb3 dxc4 Qxc4 O-O e4 b6,"Grünfeld Defense, Russian Variation, Levenfish Variation"
d4 Nf6 c4 g6 Nc3 d5 Nf3 Bg7 Qb3 dxc4 Qxc4 O-O e4 Na6,"Grünfeld Defense, Russian Variation, Prins Variation"
d4 Nf6 c4 g6 Nc3 d5 Nf3 Bg7 Qb3 dxc4 Qxc4 O-O e4 c6,"Grünfeld Defense, Russian Variation, Szabo Variation"
d4 Nf6 c4 g6 Nc3 d5 Nf3 Bg7 Qb3 dxc4 Qxc4 O-O e4 Bg4 Be3 Nfd7 Be2 Nb6 Qd3 Nc6 O-O-O,"Grünfeld Defense, Russian Variation, Keres Variation"
d4 Nf6 c4 g6 Nc3 d5 Nf3 Bg7 Qb3 dxc4 Qxc4 O-O e4 Bg4,"Grünfeld Defense, Russian Variation, Smyslov Variation"
d4 Nf6 c4 g6 Nc3 d5 Nf3 Bg7 Qb3 dxc4 Qxc4 O-O e4 Bg4 Be3 Nfd7 Qb3,"Grünfeld Defense, Russian Variation, Smyslov Variation"
d4 Nf6 c4 g6 Nc3 d5 Nf3 Bg7 Qb3 dxc4 Qxc4 O-O e4 Bg4 Be3 Nfd7 Qb3 c5,"Grünfeld Defense, Russian Variation, Yugoslav Variation"
d4 Nf6 c4 e6 g3,Catalan Opening
d4 Nf6 c4 e6 g3 d5,Catalan Opening
d4 Nf6 c4 e6 g3 e5,"Catalan Opening, Hungarian Gambit"
d4 Nf6 c4 e6 Qb3,Indian Defense
d4 Nf6 c4 e6 g4,"Indian Defense, Devin Gambit"
d4 Nf6 c4 e6 Bg5,"Indian Defense, Seirawan Attack"
d4 Nf6 c4 e6 g3 d5 Bg2,"Catalan Opening, Open Defense"
d4 Nf6 c4 e6 g3 d5 Bg2 c5 Nf3 Nc6,"Catalan Opening, Tarrasch Defense"
d4 Nf6 c4 e6 g3 d5 Bg2 dxc4,"Catalan Opening, Open Defense"
d4 Nf6 c4 e6 g3 d5 Bg2 dxc4 Qa4+ Nbd7 Qxc4,"Catalan Opening, Open Defense"
d4 Nf6 c4 e6 g3 d5 Bg2 dxc4 Qa4+ Nbd7 Qxc4 a6 Qc2,"Catalan Opening, Open Defense, Alekhine Variation"
d4 Nf6 c4 e6 g3 d5 Bg2 dxc4 Nf3,"Catalan Opening, Open Defense"
d4 Nf6 c4 e6 Nf3 d5 g3 c6 Bg2 dxc4,"Catalan Opening, Open Defense"
d4 Nf6 c4 e6 g3 d5 Bg2 dxc4 Nf3 Nc6 Qa4 Bb4+,"Catalan Opening, Open Defense, Modern Sharp Variation"
d4 Nf6 c4 e6 g3 d5 Bg2 dxc4 Nf3 Be7,"Catalan Opening, Open Defense, Classical Line"
d4 Nf6 c4 e6 Nf3 d5 g3 Be7 Bg2 O-O O-O dxc4,"Catalan Opening, Open Defense, Classical Line"
d4 Nf6 c4 e6 g3 d5 Bg2 Be7 Nf3,"Catalan Opening, Closed"
c4 e6 Nf3 d5 g3 Nf6 Bg2 Be7 d4 O-O O-O c6,"Catalan Opening, Closed"
d4 Nf6 c4 e6 Nf3 d5 g3 Bb4+ Bd2 Be7 Bg2 O-O O-O c6 Bf4 b6,"Catalan Opening, Closed"
d4 Nf6 c4 e6 g3 d5 Bg2 Be7 Nf3 O-O O-O c6 Qc2 b6 Nbd2 Bb7 e4 Na6,"Catalan Opening, Closed"
d4 Nf6 c4 e6 g3 d5 Bg2 Be7 Nf3 O-O O-O Nbd7,"Catalan Opening, Closed"
d4 Nf6 c4 e6 g3 d5 Bg2 Be7 Nf3 O-O O-O Nbd7 Nc3 c6 Qd3,"Catalan Opening, Closed, Botvinnik Variation"
d4 Nf6 c4 e6 g3 d5 Bg2 Be7 Nf3 O-O O-O Nbd7 Qc2,"Catalan Opening, Closed"
d4 Nf6 c4 e6 g3 d5 Bg2 Be7 Nf3 O-O O-O Nbd7 Qc2 c6 b3,"Catalan Opening, Closed"
d4 Nf6 c4 e6 g3 d5 Bg2 Be7 Nf3 O-O O-O Nbd7 Qc2 c6 b3 b6,"Catalan Opening, Closed"
d4 Nf6 c4 e6 g3 d5 Bg2 Be7 Nf3 O-O O-O c6 Qc2 b6 Rd1 Nbd7 Bf4,"Catalan Opening, Closed"
d4 Nf6 c4 e6 g3 d5 Bg2 Be7 Nf3 O-O O-O Nbd7 Qc2 c6 Bf4 b6 Nbd2 Bb7 e4,"Catalan Opening, Closed"
d4 Nf6 c4 e6 g3 Be7 Bg2 d5 Nf3 O-O O-O Nbd7 Qc2 c6 b3 b6 Rd1 Bb7 Nc3 b5,"Catalan Opening, Closed, Spassky Gambit"
d4 e6 c4 Nf6 Nf3 d5 g3 Be7 Bg2 O-O O-O Nbd7 Qc2 c6 Rd1 b6 a4,"Catalan Opening, Closed, Zagoryansky Variation"
d4 d5 c4 c6 Nf3 Nf6 Qc2 e6 Nbd2 Be7 g3 Nbd7 Bg2 O-O O-O b5,"Catalan Opening, Closed Variation, Rabinovich Variation"
d4 Nf6 c4 e6 Nf3 d5 g3 Be7 Bg2 O-O O-O Nbd7 Qc2 c6 Nbd2 b6,"Catalan Opening, Closed Variation, Traditional Variation"
d4 Nf6 c4 e6 Nf3 d5 g3 Be7 Bg2 O-O O-O Nbd7 Qc2 c6 Nbd2,"Catalan Opening, Closed, Main Line"
d4 Nf6 c4 e6 Nf3 d5 g3 Be7 Bg2 O-O O-O c6 Qc2 b6 Nbd2 Bb7 e4 Nbd7,"Catalan Opening, Closed, Main Line"
d4 Nf6 c4 e6 Nf3 d5 g3 Be7 Bg2 O-O O-O Nbd7 Qc2 c6 Bf4 b6 Nbd2 Bb7 e4 dxe4 Nxe4 Nxe4 Qxe4,"Catalan Opening, Closed, Main Line"
d4 Nf6 c4 e6 g3 d5 Bg2 Be7 Nf3 O-O O-O Nbd7 Qc2 c6 Nbd2 b6 b3 a5 Bb2 Ba6,"Catalan Opening, Closed, Sokolsky Variation"
d4 Nf6 c4 e6 Nf3 c5 d5 b5,Blumenfeld Countergambit
d4 Nf6 c4 e6 Nf3 c5 d5 b5 dxe6 fxe6 cxb5 d5,Blumenfeld Countergambit Accepted
d4 Nf6 c4 e6 Nf3 c5 d5 b5 Bg5,"Blumenfeld Countergambit, Duz-Khotimirsky Variation"
d4 Nf6 c4 e6 Nf3 c5 d5 b5 Bg5 exd5 cxd5 h6,"Blumenfeld Countergambit, Spielmann Variation"
d4 Nf6 c4 e6 Nf3,"Indian Defense, Anti-Nimzo-Indian"
d4 Nf6 c4 e6 Nf3 a6,"Indian Defense, Dzindzi-Indian Defense"
d4 Nf6 c4 e6 Nf3 Ne4,"Indian Defense, Döry Indian"
d4 Nf6 c4 e6 Nf3 Bb4+,Bogo-Indian Defense
d4 Nf6 c4 e6 Nf3 Bb4+ Bd2 Bxd2+,"Bogo-Indian Defense, Exchange Variation"
d4 Nf6 c4 e6 Nf3 Bb4+ Nbd2,"Bogo-Indian Defense, Grünfeld Variation"
d4 Nf6 c4 e6 Nf3 Bb4+ Bd2 Nc6,"Bogo-Indian Defense, Haiti Variation"
d4 Nf6 c4 e6 Nf3 b6 g3 Bb7 Bg2 Bb4+ Bd2 Bxd2+ Qxd2 O-O Nc3 Ne4 Qc2 Nxc3 Ng5,"Bogo-Indian Defense, Monticelli Trap"
d4 Nf6 c4 e6 Nf3 Bb4+ Nfd2,"Bogo-Indian Defense, New England Variation"
d4 Nf6 c4 e6 Nf3 Bb4+ Bd2 Qe7,"Bogo-Indian Defense, Nimzowitsch Variation"
d4 Nf6 c4 e6 Nf3 Bb4+ Bd2 Be7,"Bogo-Indian Defense, Retreat Variation"
d4 Nf6 c4 e6 g3 Bb4+ Bd2 Be7 Bg2 d5 Nf3,"Bogo-Indian Defense, Retreat Variation"
d4 Nf6 c4 e6 g3 Bb4+ Bd2 Be7 Bg2 d5 Nf3 O-O,"Bogo-Indian Defense, Retreat Variation"
d4 Nf6 c4 e6 g3 Bb4+ Bd2 Be7 Bg2 d5 Nf3 O-O O-O,"Bogo-Indian Defense, Retreat Variation"
d4 Nf6 c4 e6 g3 Bb4+ Bd2 Be7 Bg2 d5 Nf3 O-O Qc2 c6 O-O,"Bogo-Indian Defense, Retreat Variation"
d4 Nf6 c4 e6 g3 Bb4+ Bd2 Be7 Bg2 d5 Nf3 Nbd7 O-O O-O Qc2 c6,"Bogo-Indian Defense, Retreat Variation"
d4 Nf6 c4 e6 g3 Bb4+ Bd2 Be7 Bg2 d5 Nf3 Nbd7 O-O O-O Qc2 c6 b3,"Bogo-Indian Defense, Retreat Variation"
d4 Nf6 c4 e6 g3 Bb4+ Bd2 Be7 Bg2 d5 Nf3 Nbd7 O-O O-O Qc2 c6 Rc1,"Bogo-Indian Defense, Retreat Variation"
d4 Nf6 c4 e6 g3 Bb4+ Bd2 Be7 Bg2 d5 Nf3 Nbd7 O-O O-O Qc2 c6 Rd1,"Bogo-Indian Defense, Retreat Variation"
d4 Nf6 c4 e6 g3 Bb4+ Bd2 Be7 Bg2 d5 Nf3 Nbd7 O-O O-O Qc2 c6 Rd1 h6,"Bogo-Indian Defense, Retreat Variation"
d4 Nf6 c4 e6 Nf3 d5 g3 Bb4+ Bd2 Be7 Bg2 O-O O-O c6 Qc2 Nbd7 Bf4 b6 Nbd2,"Bogo-Indian Defense, Retreat Variation"
d4 Nf6 c4 e6 Nf3 d5 g3 Bb4+ Bd2 Be7 Bg2 O-O O-O c6 Qc2 Nbd7 Bf4 b6 Nbd2 Ba6,"Bogo-Indian Defense, Retreat Variation"
d4 Nf6 c4 e6 Nf3 Bb4+ Bd2 c5,"Bogo-Indian Defense, Vitolins Variation"
d4 Nf6 c4 e6 Nf3 Bb4+ Bd2 a5,"Bogo-Indian Defense, Wade-Smyslov Variation"
d4 Nf6 c4 e6 Nf3 b6,Queen's Indian Defense
d4 Nf6 c4 e6 Nf3 b6 Nc3,"Queen's Indian Defense, Kasparov Variation"
d4 Nf6 c4 e6 Nf3 b6 Nc3 Bb7 Bg5 h6 Bh4 g5 Bg3 Nh5,"Queen's Indian Defense, Kasparov Variation, Botvinnik Attack"
d4 Nf6 c4 e6 Nf3 b6 a3 Bb7 Nc3,"Queen's Indian Defense, Kasparov-Petrosian Variation"
d4 Nf6 c4 e6 Nf3 b6 a3 Bb7 Nc3 Ne4,"Queen's Indian Defense, Kasparov-Petrosian Variation, Andersson Variation"
d4 Nf6 c4 e6 Nf3 b6 a3 Bb7 Nc3 d5 cxd5 exd5,"Queen's Indian Defense, Kasparov-Petrosian Variation, Classical Variation"
d4 Nf6 c4 e6 Nf3 b6 a3 Bb7 Nc3 g6,"Queen's Indian Defense, Kasparov-Petrosian Variation, Hedgehog Variation"
d4 Nf6 c4 e6 Nf3 b6 a3 Bb7 Nc3 d5 cxd5 Nxd5 Qc2,"Queen's Indian Defense, Kasparov-Petrosian Variation, Kasparov Attack"
d4 Nf6 c4 e6 Nf3 b6 a3 Bb7 Nc3 d5,"Queen's Indian Defense, Kasparov-Petrosian Variation, Main Line"
d4 Nf6 c4 e6 Nf3 b6 a3 Bb7 Nc3 Be7,"Queen's Indian Defense, Kasparov-Petrosian Variation, Marco Defense"
d4 Nf6 c4 e6 Nf3 b6 a3 Bb7 Nc3 d5 cxd5 Nxd5,"Queen's Indian Defense, Kasparov-Petrosian Variation, Modern Variation"
d4 Nf6 c4 e6 Nf3 b6 a3 Bb7 Nc3 d5 cxd5 Nxd5 e3,"Queen's Indian Defense, Kasparov-Petrosian Variation, Petrosian Attack"
d4 Nf6 c4 e6 Nf3 b6 Nc3 Bb7 a3 d5 cxd5 Nxd5 e4,"Queen's Indian Defense, Kasparov-Petrosian Variation, Polovodin Gambit"
d4 Nf6 c4 e6 Nf3 b6 a3 Bb7 Nc3 d5 cxd5 Nxd5 Qa4+,"Queen's Indian Defense, Kasparov-Petrosian Variation, Rashkovsky Attack"
