pgn,name
c4 g5 d4 Bg7,"English Opening, Myers Gambit"
c4 f5 Nc3 Nf6 e4 fxe4 g4,"English Opening, Porcupine Variation"
c4 f5 g4,"English Opening, Wade Gambit"
c4 g5 d4 e5,"English Opening, Zilbermints Gambit"
c4 c6,"English Opening, Caro-Kann Defensive System"
c4 c6 Nf3 d5 e3,"Réti Opening, Anglo-Slav Variation, Gurevich System"
c4 c6 Nf3 d5 e3 Nf6 Qc2,"Réti Opening, Anglo-Slav Variation, Gurevich System"
c4 c6 Nf3 d5 e3 Nf6 Nc3 Nbd7 Qc2,"Réti Opening, Anglo-Slav Variation, Gurevich System"
c4 c6 Nf3 d5 e3 Nf6 Nc3 Nbd7 b3 e5,"Réti Opening, Anglo-Slav Variation, Gurevich System"
c4 c6 Nf3 d5 e3 Nf6 Nc3 e6 b3 Bd6,"Réti Opening, Anglo-Slav Variation, Gurevich System"
c4 c6 Nf3 d5 g3 Nf6 b3 g6,"Réti Opening, Anglo-Slav Variation, with g3"
c4 c6 Nf3 d5 g3 Nf6 Bg2,"Réti Opening, Anglo-Slav Variation, with g3"
c4 c6 Nf3 d5 g3 Nf6 Bg2 dxc4,"Réti Opening, Anglo-Slav Variation, with g3"
c4 c6 Nf3 d5 g3 Nf6 Bg2 Bf5,"Réti Opening, Anglo-Slav Variation, with g3"
c4 c6 Nf3 d5 g3 Nf6 Bg2 Bf5 O-O e6 d3,"Réti Opening, Anglo-Slav Variation, with g3"
Nf3 Nf6 g3 d5 Bg2 c6 O-O Bf5 d3 h6 c4 e6,"Réti Opening, Anglo-Slav Variation, with g3"
c4 Nf6 g3 c6 Nf3 d5 b3,"Réti Opening, Anglo-Slav Variation"
Nf3 d5 b3 Nf6 Bb2 g6 c4 c6,"Réti Opening, Anglo-Slav Variation, Bled Variation"
Nf3 d5 c4 c6 b3,"Réti Opening, Anglo-Slav Variation, Bogoljubow Variation"
Nf3 d5 c4 c6 b3 Bg4,"Réti Opening, Anglo-Slav Variation, Bogoljubow Variation"
Nf3 d5 c4 c6 b3 Bf5,"Réti Opening, Anglo-Slav Variation, Bogoljubow Variation"
Nf3 d5 c4 c6 b3 Bf5 Bb2,"Réti Opening, Anglo-Slav Variation, Bogoljubow Variation"
c4 Nf6 Nf3 c6 b3 d5 Bb2 Bg4,"Réti Opening, Anglo-Slav Variation, Capablanca Variation"
c4 Nf6 Nf3 c6 b3 d5 Bb2 Bg4 e3,"Réti Opening, Anglo-Slav Variation, Capablanca Variation"
c4 Nf6 Nf3 c6 b3 d5 Bb2 Bg4 d3,"Réti Opening, Anglo-Slav Variation, Capablanca Variation"
c4 Nf6 g3 c6 Nf3 d5 b3 Bf5,"Réti Opening, Anglo-Slav Variation, London Defensive System"
c4 Nf6 g3 c6 Nf3 d5 b3 Bf5 Bg2,"Réti Opening, Anglo-Slav Variation, London Defensive System"
c4 Nf6 g3 c6 Nf3 d5 b3 Bf5 Bg2 e6 Bb2,"Réti Opening, Anglo-Slav Variation, London Defensive System"
c4 Nf6 g3 c6 Nf3 d5 b3 Bf5 Bb2,"Réti Opening, Anglo-Slav Variation, London Defensive System"
Nf3 Nf6 c4 c6 b3 d5 Bb2 Bf5,"Réti Opening, Anglo-Slav Variation, New York System"
Nf3 Nf6 c4 c6 b3 d5 Bb2 Bf5 e3,"Réti Opening, Anglo-Slav Variation, New York System"
Nf3 Nf6 c4 c6 b3 d5 Bb2 Bf5 d3,"Réti Opening, Anglo-Slav Variation, New York System"
c4 Nf6 g3 c6 Nf3 d5 b3 Bg4,"Réti Opening, Anglo-Slav Variation, Torre System"
c4 Nf6 g3 c6 Nf3 d5 b3 Bg4 Bg2,"Réti Opening, Anglo-Slav Variation, Torre System"
